Node_id,Node name,Skill tree ID,Branch,Excercise id,Previous Node_id,Difficulty,(Optional) weight setting
squat_advanced_shrimp_squat,Shrimp Squat (Advanced),squat,shrimp,shrimp_squat_advanced,squat_intermediate_shrimp_squat,5,
core_foot_supported_l_sit,L-Sit Hold (Foot-Supported),core,l_sit,l_sit_hold_foot_supported,,1,
core_l_sit_tuck,L-Sit Hold (Tuck),core,l_sit,l_sit_hold_tuck,core_foot_supported_l_sit,2,
core_advanced_tuck_l_sit,L-Sit Hold (Advanced Tuck),core,l_sit,l_sit_hold_advanced_tuck,core_l_sit_tuck,3,
core_l_sit,L-Sit Hold,core,l_sit,l_sit_hold,core_advanced_tuck_l_sit,3,
core_straddle_l_sit,L-Sit Hold (Straddle),core,l_sit,l_sit_hold_straddle,core_l_sit,4,
core_v_sit,V-Sit Hold,core,l_sit,v_sit_hold,core_straddle_l_sit,5,
core_plank,25s Plank,core,ab_wheel,plank,,1,
core_plank_60s,60s Plank,core,ab_wheel,plank,core_plank,2,
core_one_arm_one_leg_plank,One-Arm One-Leg Plank,core,ab_wheel,one_arm_one_leg_plank,core_plank_60s,3,
core_ab_wheel_kneeling,Ab Wheel (Kneeling),core,ab_wheel,ab_wheel_kneeling,core_one_arm_one_leg_plank,3,
core_ab_wheel_eccentric,Ab Wheel (Eccentric),core,ab_wheel,ab_wheel_eccentric,core_ab_wheel_kneeling,4,
core_ab_wheel_standing,Ab Wheel (Standing),core,ab_wheel,ab_wheel_standing,core_ab_wheel_eccentric,4,
core_lying_knee_raises,Lying Knee Raise,core,leg_raises,lying_knee_raise,,1,
core_bent_leg_lying_leg_raises,Lying Bent-Leg Raise,core,leg_raises,lying_bent_leg_raise,core_lying_knee_raises,1,
core_straight_leg_lying_leg_raises,Lying Straight-Leg Raise,core,leg_raises,lying_straight_leg_raise,core_bent_leg_lying_leg_raises,2,
core_hanging_knee_raises,Hanging Knee Raise,core,leg_raises,hanging_knee_raise,core_straight_leg_lying_leg_raises,3,
core_bent_leg_hanging_leg_raises,Hanging Bent-Leg Raise,core,leg_raises,hanging_bent_leg_raise,core_hanging_knee_raises,4,
core_straight_leg_hanging_leg_raises,Hanging Straight-Leg Raise,core,leg_raises,hanging_straight_leg_raise,core_bent_leg_hanging_leg_raises,5,
muscle_up_false_grip_pull_ups,Pull Up (False Grip),muscle_up,main,pull_up_false_grip,,3,
muscle_up_muscle_up_negatives,Muscle Up (Eccentric),muscle_up,main,muscle_up_eccentric,muscle_up_false_grip_pull_ups,4,
muscle_up_kipping_muscle_up,Muscle Up (Kipping),muscle_up,main,muscle_up_kipping,muscle_up_muscle_up_negatives,4,
muscle_up_muscle_up,Muscle Up,muscle_up,main,muscle_up,muscle_up_kipping_muscle_up,5,
handstand_pushups_pike_push_up,Pike Pushup,handstand_pushups,main,pike_pushup,,2,
handstand_pushups_box_push_up,Pike Push-Up (Feet Elevated),handstand_pushups,main,pike_push_up_feet_elevated,handstand_pushups_pike_push_up,3,
handstand_pushups_wall_headstand_push_up_eccentrics,"Headstand Push-Up (Wall, Eccentric)",handstand_pushups,main,headstand_push_up_wall_eccentric,handstand_pushups_box_push_up,3,
handstand_pushups_wall_headstand_push_up,Headstand Push-Up (Wall),handstand_pushups,main,headstand_push_up_wall,handstand_pushups_wall_headstand_push_up_eccentrics,4,
handstand_pushups_wall_handstand_push_up,Handstand Push Up,handstand_pushups,main,handstand_push_up,handstand_pushups_wall_headstand_push_up,4,
handstand_pushups_free_headstand_push_up,Headstand Push-Up (Freestanding),handstand_pushups,main,headstand_push_up_freestanding,handstand_pushups_wall_handstand_push_up,5,
handstand_pushups_free_handstand_push_up,Handstand Push-Up (Freestanding),handstand_pushups,main,handstand_push_up_freestanding,handstand_pushups_free_headstand_push_up,5,
dips_bench_dips,Bench Dip,dips,foundation,bench_dip,,1,
dips_dip_negatives,Chest Dip (Eccentric),dips,foundation,chest_dip_eccentric,dips_bench_dips,2,
dips_parallel_bar_dips,Chest Dip,dips,foundation,chest_dip,dips_dip_negatives,3,
dips_weighted_dips_120,Chest Dip (+20% Bodyweigh),dips,weighted,chest_dip_weighted,dips_parallel_bar_dips,4,user_bodyweight * 0.20
dips_weighted_dips_140,Chest Dip (+40% Bodyweigh),dips,weighted,chest_dip_weighted,dips_weighted_dips_120,4,user_bodyweight * 0.40
dips_weighted_dips_160,Chest Dip (+60% Bodyweigh),dips,weighted,chest_dip_weighted,dips_weighted_dips_140,4,user_bodyweight * 0.60
dips_weighted_dips_180,Chest Dip (+80% Bodyweight),dips,weighted,chest_dip_weighted,dips_weighted_dips_160,5,user_bodyweight * 0.80
dips_weighted_dips_200,Chest Dip (+100% Bodyweigh),dips,weighted,chest_dip_weighted,dips_weighted_dips_180,5,user_bodyweight * 1.00
dips_ring_dips,Ring Dips,dips,rings,ring_dips,dips_parallel_bar_dips,4,
dips_ring_dips_rto,Ring Dip (Rings Turned Out),dips,rings,ring_dip_rings_turned_out,dips_ring_dips,5,
barbell_squat_barbell_squat,Squat (Barbell),barbell_squat,main,squat_barbell,,3,
hinge_romanian_deadlift_bodyweight,Romanian Deadlift (Bodyweight),hinge,foundation,romanian_deadlift_bodyweight,,1,
hinge_single_leg_rdl,Single Leg Romanian Deadlift (Bodyweight),hinge,nordic_curls,single_leg_romanian_deadlift_bodyweight,hinge_romanian_deadlift_bodyweight,2,
hinge_banded_nordic_eccentric,"Nordic Hamstring Curl (Banded, Eccentric)",hinge,nordic_curls,nordic_hamstring_curl_banded_eccentric,hinge_single_leg_rdl,3,
hinge_banded_nordic,Nordic Hamstring Curl (Banded),hinge,nordic_curls,nordic_hamstring_curl_banded,hinge_banded_nordic_eccentric,4,
hinge_nordic_curl,Nordic Hamstrings Curls,hinge,nordic_curls,nordic_hamstrings_curls,hinge_banded_nordic,5,
hinge_romanian_deadlift_barbell,Romanian Deadlift (Barbell),hinge,weighted,romanian_deadlift_barbell,hinge_romanian_deadlift_bodyweight,2,"0kg, just the bar"
hinge_rdl_25_bw,Romanian Deadlift (25% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_romanian_deadlift_barbell,2,user_bodyweight * 0.25
hinge_rdl_50_bw,Romanian Deadlift (50% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_25_bw,3,user_bodyweight * 0.50
hinge_rdl_75_bw,Romanian Deadlift (75% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_50_bw,3,user_bodyweight * 0.75
hinge_rdl_100_bw,Romanian Deadlift (100% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_75_bw,4,user_bodyweight * 1.00
hinge_rdl_125_bw,Romanian Deadlift (125% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_100_bw,4,user_bodyweight * 1.25
hinge_rdl_150_bw,Romanian Deadlift (150% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_125_bw,5,user_bodyweight * 1.50
hinge_rdl_175_bw,Romanian Deadlift (175% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_150_bw,5,user_bodyweight * 1.75
hinge_rdl_200_bw,Romanian Deadlift (200% Bodyweight),hinge,weighted,romanian_deadlift_barbell,hinge_rdl_175_bw,5,user_bodyweight * 2.00
